N	L	factor	mean_age	min_poly	median_poly	max_poly
100	1	1.5	4.55979504738957	1	4	11
200	1	1.5	4.57030280048066	2	8	17
400	1	1.5	4.68175315110971	7	15	28
800	1	1.5	4.37336783178641	13	30	53
1600	1	1.5	4.21325474526458	31	58	93
100	1	2	4.23382588155179	1	3	12
200	1	2	4.3839145855399	1	7	16
400	1	2	4.47983984485383	3	12	26
800	1	2	4.4592914572721	11	23	43
1600	1	2	4.38755727371802	25	43	94
100	1	2.5	4.22709256590512	1	3	8
200	1	2.5	4.76271794106359	1	5	14
400	1	2.5	4.39802706528831	2	10	26
800	1	2.5	4.50211309399556	8	17	33
1600	1	2.5	4.63614311694463	15	34	67
100	1	3	4.27220467088614	1	3	9
200	1	3	4.43089226529467	1	5	14
400	1	3	4.30643106597153	2	8	25
800	1	3	4.64672762758959	4	15	39
1600	1	3	4.2032121363018	14	28	53
