model	lik	mode	convergence
1A	-1093.22329221476	1.52131896476595	0
1C	-1111.53569773458	0.433558137607754	0
1G	-1111.53569773459	0.433557992331286	0
1T	-1129.45945813199	0.969385748982471	0
2A	-1118.06908270935	1.28787359873901	0
2C	-1111.53569775124	0.433558035444827	0
2G	-1111.53569775121	0.433558050663207	0
2T	-1111.84122206895	0.546355449703011	0
3A	-1118.13505959799	1.28649206092041	0
3C	-1111.53569772712	0.433558151671079	0
3G	-1111.53569772709	0.43355808865016	0
3T	-1111.58880401383	0.404326234644647	0
4A	-1111.53569773327	0.43355816579067	0
4C	-1118.72674943767	1.2795087710043	0
4G	-1111.53569773331	0.433558219056569	0
4T	-1111.30158476059	1.53630984865134	0
5A	-1111.53569775524	0.433558032268623	0
5C	-1111.53569775514	0.433557930927712	0
5G	-1117.99732462607	1.28853377760558	0
5T	-1111.54827367884	0.348976946692002	0
6A	-1111.53569774024	0.433558078508776	0
6C	-1111.53569774017	0.433557911800189	0
6G	-1118.7009969746	1.28028796426421	0
6T	-1111.61007918074	1.39544023126666	0
7A	-1111.53569773746	0.433558175126565	0
7C	-1118.08866846412	1.28756891693222	0
7G	-1111.85028634059	0.559262952116085	0
7T	-1111.53569773763	0.433558058355485	0
8A	-1111.57057160808	0.361012128455118	0
8C	-1111.53569775455	0.433558075099725	0
8G	-1111.53569775454	0.433558195994471	0
8T	-1118.03095932949	1.28802908799717	0
9A	-1111.53569774395	0.433558013337146	0
9C	-1117.94923584577	1.28926174532562	0
9G	-1111.50674882506	0.333041403022236	0
9T	-1111.53569774411	0.433558054437655	0
10A	-1111.50903033945	0.333784533169218	0
10C	-1111.53569774491	0.433558020452397	0
10G	-1111.5356977449	0.433558116569861	0
10T	-1117.95160332718	1.28922573526885	0
11A	-1111.5356977352	0.433558194288825	0
11C	-1118.41533261489	1.28326028107382	0
11G	-1111.69362868102	1.01272710847818	0
11T	-1111.53569773542	0.433558302318289	0
12A	-1111.90013326232	0.837207371714686	0
12C	-1111.5356977522	0.433558075534545	0
12G	-1111.53569775219	0.433558178858924	0
12T	-1118.2800352675	1.28524596536245	0
13A	-1118.17625435416	1.28629648373401	0
13C	-1111.53569771821	0.433558153952552	0
13G	-1111.83298540774	0.617721439145392	0
13T	-1111.53569771825	0.433558057446365	0
neutral	-1111.82137772892	1	0
