model	lik	mode	convergence
1A	-6456.64038012574	2.45199591120313	0
1C	-6680.9505041944	0.41512268756236	0
1G	-6683.94104032773	0.290136456549878	0
1T	-6681.36579014184	0.611207236163949	0
2A	-6676.86225541149	2.01668997445883	0
2C	-6680.91492253514	0.432853742268493	0
2G	-6680.91492253514	0.432853742272239	0
2T	-6472.32440019547	2.42961418880353	0
3A	-6680.95955448673	0.408675395466736	0
3C	-6464.29812573563	2.43972281611615	0
3G	-6681.60814193977	0.862511053652927	0
3T	-6680.96525030576	0.400326953864297	0
4A	-6679.33592447476	1.86628586360379	0
4C	-6469.12505211153	2.4316117714109	0
4G	-6680.93488061165	0.423930089169354	0
4T	-6681.13798619417	0.677985422673774	0
5A	-6680.93875189432	0.423520006123121	0
5C	-6681.05199806186	1.21312188087448	0
5G	-6679.48798554561	2.26920070552334	0
5T	-6469.55754010317	2.41681591499292	0
6A	-6680.96705543065	0.387291455175764	0
6C	-6467.91824470664	2.42108609247662	0
6G	-6680.26231146011	1.79954905855576	0
6T	-6680.91508771384	0.432723723411637	0
7A	-6680.91498823133	0.432118066876148	0
7C	-6681.50909231462	1.20505430650469	0
7G	-6680.93746765235	0.423023197693702	0
7T	-6465.42428543707	2.44034366001985	0
8A	-6465.17819489243	2.43026733891682	0
8C	-6681.13415030465	0.639161866703369	0
8G	-6680.95531268748	0.411572961147008	0
8T	-6680.94705290338	0.357986058275891	0
9A	-6680.91491930679	0.432926301459249	0
9C	-6614.57817988667	2.30141616259265	0
9G	-6680.26843279947	1.79865922087772	0
9T	-6537.22186283461	2.48151475263233	0
10A	-6511.48946194242	2.43781178801901	0
10C	-6680.96729389925	0.397676069760031	0
10G	-6656.30119792823	2.32873803226103	0
10T	-6665.0970858676	2.28141650038079	0
11A	-6655.33079659653	2.32754117547388	0
11C	-6493.35758201825	2.4364139875685	0
11G	-6680.9545286402	0.413210864794998	0
11T	-6680.9274055627	0.351945951427072	0
12A	-6680.91503836564	0.432794044691514	0
12C	-6680.9819200085	1.25589931999706	0
12G	-6681.22100383032	0.897216768975127	0
12T	-6467.28156627971	2.42455191957096	0
13A	-6680.91547277625	0.431692506567432	0
13C	-6467.38387304564	2.43153197854452	0
13G	-6680.96674545793	0.388223804960187	0
13T	-6680.43028717281	1.65418640903902	0
14A	-6467.46407731643	2.42212140510622	0
14C	-6680.91525616234	0.432565821698183	0
