model	lik	mode	convergence
1A	-8457.68696617574	1.88832555404431	0
1C	-8564.95275040376	0.926433284553345	0
1G	-8561.7004268531	0.970982487657088	0
1T	-8560.49860232504	0.299791617349319	0
2A	-8559.07356299938	1.87756846074128	0
2C	-8557.59073872562	2.20713749717949	0
2G	-8519.5181896034	1.54742976456631	0
2T	-8532.62468459587	1.98040108971894	0
3A	-8561.73757427044	0.885517535235679	0
3C	-8560.73955283758	0.385708229812838	0
3G	-8469.04325693516	1.82112658355725	0
3T	-8564.91713529845	1.0669286740672	0
4A	-8560.82227734647	0.430997610453257	0
4C	-8495.71102822627	1.62269214819633	0
4G	-8551.5317070929	2.129827709545	0
4T	-8560.85986009164	1.16206814835426	0
5A	-8561.24577964121	0.64982985175807	0
5C	-8557.94933833511	3.01554370212284	0
5G	-8495.11439415793	1.64243242178604	0
5T	-8555.73727195428	1.60835846562883	0
6A	-8481.16861112521	1.66458968929461	0
6C	-8560.68945213283	0.429516104987478	0
6G	-8562.03105593656	0.384113875437005	0
6T	-8560.72309182181	0.413776482239598	0
7A	-8485.5339683067	1.66090401673065	0
7C	-8560.69157848377	0.425739512766078	0
7G	-8561.58582332293	0.914265071903545	0
7T	-8561.23986714354	1.2808603532275	0
8A	-8561.16960321036	1.1580465916512	0
8C	-8560.81713800349	0.983950092828761	0
8G	-8487.26771744609	1.64615156109533	0
8T	-8560.73188907657	0.373229111647303	0
9A	-8560.91431794438	0.921809590042215	0
9C	-8503.59124189398	1.5998861841581	0
9G	-8560.7760432953	0.753184075590637	0
9T	-8544.55763071403	2.00442650622648	0
10A	-8485.82856739108	1.65256780019524	0
10C	-8560.70824698625	0.423532918573879	0
10G	-8560.71845416398	0.364785344815751	0
10T	-8561.16077431123	0.683268464304241	0
11A	-8558.35595017421	2.16783960050747	0
11C	-8490.82139532909	1.64076798753767	0
11G	-8561.00626911924	1.18311678763823	0
11T	-8561.21159930541	1.29698232709903	0
12A	-8560.68889998491	0.429533557452949	0
12C	-8486.43980906432	1.64660003783932	0
12G	-8560.69507928282	0.348954747843175	0
12T	-8560.68889998491	0.4295335575444	0
13A	-8560.68698060083	0.423063065699691	0
13C	-8562.00193973284	0.918574971627088	0
13G	-8482.01136670853	1.68684262684386	0
13T	-8561.53395970687	0.758424880425991	0
14A	-8489.83710045674	1.64163747563267	0
14C	-8560.6893886476	0.429310276569454	0
14G	-8560.35327491252	1.5856185278503	0
14T	-8560.53714353367	1.48693398828634	0
15A	-8560.68948805905	0.429761585304125	0
15C	-8561.07760297574	1.01667047137743	0
15G	-8486.50499284864	1.6503944744685	0
15T	-8561.40263176883	0.809899346432664	0
16A	-8561.06844155002	0.793349366674338	0
16C	-8561.72581722487	0.792927192274122	0
16G	-8560.72624002521	0.410249150050767	0
16T	-8483.12858118409	1.67446976784411	0
17A	-8560.68872366086	0.430297248724381	0
17C	-8560.68872366086	0.430297248977231	0
17G	-8488.43328564438	1.64112851284107	0
17T	-8560.32975592338	1.59332226727158	0
18A	-8561.13921588729	0.655960758412901	0
18C	-8560.75486021415	1.43976306412752	0
18G	-8489.74337449471	1.64964252384174	0
18T	-8559.93070026642	1.53716041546702	0
19A	-8560.58129077716	0.312590851031179	0
19C	-8560.70996689238	0.351020280427948	0
19G	-8561.13482082439	0.588232991714086	0
19T	-8484.30684347046	1.66113398745014	0
20A	-8465.07074700158	1.82331817948802	0
20C	-8564.92310907938	0.92890467708392	0
20G	-8560.97910334313	0.560444310759382	0
20T	-8561.22642237847	0.969757469260583	0
21A	-8546.00878552747	2.02017090300764	0
21C	-8560.69035908338	0.346709710991441	0
21G	-8499.73363569037	1.6197992784734	0
21T	-8561.04148612677	0.553008548290011	0
22A	-8464.45466224127	1.82066397987497	0
22C	-8560.47509994211	0.295834332452848	0
22G	-8560.63088976455	0.325984446372743	0
22T	-8564.86987127713	0.927708196851151	0
23A	-8544.58796314939	1.94318235271539	0
23C	-8560.7380684929	0.382716973888396	0
23G	-8503.0785743096	1.60736898670303	0
23T	-8560.73993559466	0.399142151830299	0
24A	-8561.81871171308	0.81420066638611	0
24C	-8560.68826507202	0.425532513137767	0
24G	-8481.90124481231	1.68345942185416	0
24T	-8560.82656836941	1.03702739934171	0
25A	-8561.73915166887	0.876641150296313	0
25C	-8561.19606540229	0.652469334769764	0
25G	-8562.33468430134	0.441639633661292	0
25T	-8475.70336687928	1.70780605135845	0
26A	-8561.26473626282	1.14041752275164	0
26C	-8540.49412140294	1.46566521195468	0
26G	-8505.03529675625	1.89203143374275	0
26T	-8560.51568877665	1.54268306700609	0
27A	-8560.73445285173	0.364893080387169	0
27C	-8560.73971818676	0.388844375984784	0
27G	-8485.98776166615	1.64974432237779	0
27T	-8560.98645362034	0.544282728155365	0
28A	-8564.33729970062	0.992703332792366	0
28C	-8560.87572449454	0.481207903710805	0
28G	-8545.70021974553	2.03482744804344	0
28T	-8496.19008055266	1.63884245748187	0
29A	-8561.18909403125	0.92954481139884	0
29C	-8487.59946610921	1.65116105531456	0
29G	-8559.31985701938	2.16217579079988	0
29T	-8561.72082315062	0.946628639683501	0
30A	-8462.00529714038	1.83756197653739	0
30C	-8560.7197275283	0.365687312206998	0
30G	-8561.52848581675	0.770286953432694	0
30T	-8564.68281641666	0.896917134105558	0
31A	-8560.69044188358	0.342798907643801	0
31C	-8485.82812290034	1.65011154732099	0
31G	-8560.67434656018	0.337132760309548	0
31T	-8560.68958858544	0.429314398277697	0
32A	-8488.61738788789	1.64432646190764	0
32C	-8560.68913690294	0.429988823836486	0
32G	-8560.23601948631	1.53145573744091	0
32T	-8560.73952647256	0.395296542294137	0
33A	-8561.44839882902	0.714685909796827	0
33C	-8489.68476963559	1.6494040187732	0
33G	-8560.89416886782	0.958183478157141	0
33T	-8556.93693028791	1.96983715860713	0
34A	-8489.63833660189	1.63953954954259	0
34C	-8560.33536736228	1.60472630140762	0
34G	-8560.27743064396	1.63953334546191	0
34T	-8560.93346515137	0.650577179103185	0
35A	-8561.54807835817	0.743055118003243	0
35C	-8484.31796583936	1.66668615372148	0
35G	-8560.40993695875	0.948381519362809	0
35T	-8560.98830497888	0.905080964864665	0
36A	-8560.89953871043	0.661111973134851	0
36C	-8558.4723491842	2.0255297194006	0
36G	-8558.1276744817	1.90093490575358	0
36T	-8493.61715347491	1.62605607422094	0
37A	-8560.68921196114	0.429785434343645	0
37C	-8560.74345348004	0.395353397599319	0
37G	-8486.22607298176	1.64788138563256	0
37T	-8560.70874019028	0.350654649708681	0
38A	-8560.71443739855	0.359218171908066	0
38C	-8561.00913785485	1.06265000230059	0
38G	-8486.47461125296	1.64830535419125	0
38T	-8560.71915187274	0.362298691924802	0
39A	-8559.13914110232	2.18913479246383	0
39C	-8559.74747376521	1.97128803293598	0
39G	-8561.03729821206	1.04398347584828	0
39T	-8490.48180576639	1.63254852415849	0
40A	-8560.94272809719	0.931577965854564	0
40C	-8556.04238589213	1.61375333752252	0
40G	-8561.07402982129	0.829289253632361	0
40T	-8493.81692760462	1.64483923808986	0
41A	-8560.60887320726	1.4025911670383	0
41C	-8560.6887579488	0.430297850212318	0
41G	-8560.6887579488	0.430297850212318	0
41T	-8488.4132140233	1.6496565018229	0
42A	-8560.23335367349	1.68076304712405	0
42C	-8555.86112725605	3.12908530450499	0
42G	-8561.31044254326	1.20912468235957	0
42T	-8491.90528287825	1.63044471967565	0
43A	-8484.6457106032	1.66755820996408	0
43C	-8560.73489547648	0.41277379666631	0
43G	-8560.67584764546	0.340818112394208	0
43T	-8561.95001013549	1.03573366128867	0
44A	-8561.13856361013	0.655784083728272	0
44C	-8561.00550910045	0.523833068587699	0
44G	-8520.87770198168	1.85315479135684	0
44T	-8525.0961267286	1.55749787085196	0
45A	-8560.30948598313	1.63242521582953	0
45C	-8487.17869960732	1.6463211962699	0
45G	-8560.90574248883	0.468443287999	0
45T	-8560.721291139	0.413200259191594	0
46A	-8561.82606091068	0.819333367379476	0
46C	-8560.68923263167	0.429689205403699	0
46G	-8560.68923263167	0.4296892047096	0
46T	-8482.9858728917	1.6752074862013	0
47A	-8488.15742885411	1.6449679126053	0
47C	-8560.04393261766	1.73667820604797	0
47G	-8560.68962380442	0.429129650863599	0
47T	-8561.28764053264	1.07290319324207	0
48A	-8561.25488902274	0.664121023576515	0
48C	-8560.74130146094	0.375816112609298	0
48G	-8558.68920765899	1.80026433374511	0
48T	-8488.98105295107	1.64622527824129	0
49A	-8560.68961589331	0.428905585915468	0
49C	-8560.59350500611	0.315623597657726	0
49G	-8561.11442761891	1.17933251154097	0
49T	-8486.4975209641	1.64958913169492	0
50A	-8560.68891006673	0.429950743318868	0
50C	-8561.80667405934	1.02552524849051	0
50G	-8561.55041471434	0.793809180891576	0
50T	-8484.53242362468	1.66852565968241	0
51A	-8561.0979959259	0.78869617200001	0
51C	-8486.92076971346	1.64562539374325	0
51G	-8560.71453533255	0.423616655223025	0
51T	-8560.86962977447	0.707199846707558	0
52A	-8560.73294382658	0.374403114370195	0
52C	-8487.02046244269	1.64567629808323	0
52G	-8561.06493488557	1.03551011154896	0
52T	-8560.82513200651	0.710991615820322	0
53A	-8560.13064261492	1.74145708338623	0
53C	-8490.31267421379	1.63585978228153	0
53G	-8560.89475926452	1.12037957275224	0
53T	-8559.9331547526	1.72134563960071	0
54A	-8561.35013884772	0.678293621861096	0
54C	-8560.72523180571	0.404590195573696	0
54G	-8560.67819016027	1.23217462138536	0
54T	-8485.05239053007	1.66067107940695	0
55A	-8560.68864029932	0.430346443129532	0
55C	-8488.8575800761	1.63929851692826	0
55G	-8559.86886822198	1.72500726423248	0
55T	-8560.68864029932	0.43034644346446	0
56A	-8561.66726573381	0.826724135061788	0
56C	-8487.00876898581	1.66728978889771	0
56G	-8561.04705267748	1.29367615178316	0
56T	-8560.73169420185	1.38594061109697	0
57A	-8486.31711471785	1.65410249121392	0
57C	-8560.75901630439	0.775350239675803	0
57G	-8561.15016636576	0.694057804001942	0
57T	-8561.60672301408	1.0179254573112	0
58A	-8561.14010097243	0.754994139087353	0
58C	-8487.3826882613	1.64470900886572	0
58G	-8560.68883528257	0.430268029859948	0
58T	-8560.86002337917	1.28382180218164	0
59A	-8559.85398675001	1.7322021254058	0
59C	-8547.50153013706	1.93558064738896	0
59G	-8502.45633363711	1.60726555249932	0
59T	-8560.70401658746	0.353320924007896	0
60A	-8561.83826716636	0.830113660078035	0
60C	-8561.15477020502	0.648387510098454	0
