model	lik	mode	convergence
1A	-2868.01369995542	2.99478137107033	0
1C	-3354.14758238899	0.433558068716503	0
1G	-3371.0058437842	0.993745493381442	0
1T	-3354.14758238897	0.43355808088955	0
2A	-3354.14758236362	0.433558131191478	0
2C	-3105.24147336444	1.89222897591874	0
2G	-3354.14758236373	0.433558131451053	0
2T	-3354.20333835428	0.400074533090585	0
3A	-3354.14758236156	0.433558123259456	0
3C	-3354.14758236127	0.433558127415444	0
3G	-3354.4046163268	0.654784928612771	0
3T	-3105.39929690672	1.8922458693681	0
4A	-3371.0058437842	0.993745494100608	0
4C	-3354.14758238901	0.433558050386012	0
4G	-2868.01369995538	2.99478137051814	0
4T	-3354.147582389	0.433558022239389	0
5A	-3354.19659811834	0.372371172184273	0
5C	-3105.02782243411	1.89281242577963	0
5G	-3354.14758238321	0.433558021641234	0
5T	-3354.14758238319	0.43355810314486	0
6A	-3354.14758236767	0.433558200601957	0
6C	-3105.20034853424	1.89233913985354	0
6G	-3354.20528509507	0.394352126637855	0
6T	-3354.14758236786	0.433558309198549	0
7A	-3354.20440450148	0.397605603251178	0
7C	-3354.14758236528	0.433558221888365	0
7G	-3105.22390061602	1.89227591338269	0
7T	-3354.14758236525	0.433558143438777	0
8A	-3354.14758235093	0.433557993286616	0
8C	-3354.14758235088	0.433557788429423	0
8G	-3105.3775642453	1.89187273666008	0
8T	-3354.17955904052	0.420701917011313	0
9A	-3104.80421362227	1.89344844399834	0
9C	-3354.15799519457	0.347989429735529	0
9G	-3354.14758238846	0.433558043112021	0
9T	-3354.14758238845	0.433558035777361	0
10A	-3105.60189655104	1.89345676798961	0
10C	-3354.64890701991	1.14141493206999	0
10G	-3354.14758238322	0.433558178172486	0
10T	-3354.14758238319	0.433558103425037	0
11A	-3354.14758238245	0.433558138366272	0
11C	-3104.68145949468	1.89997369991985	0
11G	-3354.1475823825	0.433557975780781	0
11T	-3354.99264418466	1.19645663222131	0
12A	-3107.2596403344	1.88881712844571	0
12C	-3354.14758235816	0.433558232993119	0
12G	-3354.14758235812	0.433558173464447	0
12T	-3352.66045340853	2.39863856357423	0
13A	-3354.14758238742	0.43355805913995	0
13C	-3354.1475823872	0.43355810499595	0
13G	-3354.93402301592	1.22723317620663	0
13T	-3104.66888810627	1.90132322251366	0
14A	-3354.14758235705	0.433558135401237	0
14C	-3354.20695140265	0.785197194162336	0
14G	-3105.76076097973	1.89133355479533	0
14T	-3354.14758235687	0.433557951739509	0
15A	-3105.88155893865	1.89102825971623	0
15C	-3354.14758235501	0.433558170967482	0
15G	-3354.14758235503	0.433558050752568	0
15T	-3354.08440617926	0.847674582519384	0
16A	-3354.1475823858	0.433558100303623	0
16C	-3354.14758238561	0.433557953166876	0
16G	-3354.19144351408	0.367591033007953	0
16T	-3104.98686185918	1.89292718808555	0
17A	-3107.81995437397	1.88781482483369	0
17C	-3354.14758235073	0.433558417347213	0
17G	-3354.14758235071	0.433558065339137	0
17T	-3351.76506695645	2.95787226978123	0
18A	-3354.14758217246	0.433557512257882	0
18C	-3354.14758217222	0.433557503888841	0
18G	-3353.90165164743	0.286530286442266	0
18T	-3104.03521540635	1.89575453533197	0
19A	-3354.14758235548	0.433558069574068	0
19C	-3354.14758235538	0.433558022081102	0
19G	-3105.32414199607	1.89201098719492	0
19T	-3354.1927271038	0.412267434652311	0
20A	-3354.14758238896	0.433558060997654	0
20C	-3104.88356091903	1.89322020168548	0
20G	-3354.17442198247	0.356207532666536	0
20T	-3354.14758238913	0.433558060795014	0
21A	-3354.14758238299	0.433558093990195	0
21C	-3354.14758238279	0.433558090331643	0
21G	-3354.40934235519	0.483234929104634	0
21T	-3104.48583780062	1.89458699833767	0
22A	-3354.14758234283	0.433557888774029	0
22C	-3104.45257758481	1.89448618527569	0
22G	-3354.05896510708	0.316355635118249	0
22T	-3354.14758234297	0.433557554305852	0
23A	-3354.14758238915	0.433558082392337	0
23C	-3105.92120160398	1.89228496933199	0
23G	-3354.14758238922	0.433558147077423	0
23T	-3354.38837421156	1.22323216223654	0
24A	-3354.39900888352	0.935308130081811	0
24C	-3354.14758237932	0.433558079159719	0
24G	-3354.14758237933	0.433558131305962	0
24T	-3105.68047150639	1.89199412284541	0
25A	-3354.14758234958	0.433558063866011	0
25C	-3354.16934749059	0.425575720011576	0
25G	-3105.40719431006	1.89179699367265	0
25T	-3354.14758234922	0.433558055214157	0
26A	-3354.20497881259	0.395749111715808	0
26C	-3105.21052205268	1.8923117829053	0
26G	-3354.14758236677	0.4335581488152	0
26T	-3354.14758236674	0.433558212179826	0
27A	-3354.14758236533	0.433558156756846	0
27C	-3354.20427709724	0.397950050085923	0
27G	-3105.2263632696	1.89226932644992	0
27T	-3354.14758236518	0.433558070245267	0
28A	-3354.1475823549	0.433558164540553	0
28C	-3106.77997196564	1.88960378990529	0
28G	-3354.14758235511	0.433558319570129	0
28T	-3353.30413848841	1.90060914495175	0
29A	-3353.24493469094	0.304380252556717	0
29C	-3101.89812359313	1.90100404975931	0
29G	-3354.14758235334	0.433558305652647	0
29T	-3354.14758235328	0.433558138084004	0
30A	-3354.14758238881	0.433558033872638	0
30C	-3354.14758238865	0.433558038069127	0
30G	-3354.16067829229	0.349217936820144	0
30T	-3104.81635742659	1.89341334649512	0
31A	-3104.94280969964	1.89305153584061	0
31C	-3354.1475823876	0.433558048802312	0
31G	-3354.184845793	0.362612900288524	0
31T	-3354.14758238759	0.433558065913376	0
32A	-3354.14758238908	0.433558045595699	0
32C	-3354.14758238898	0.433558036735381	0
32G	-3105.16557138395	1.8933650362127	0
32T	-3354.56703629451	0.765846306538587	0
33A	-3353.86707613086	1.32502443897463	0
33C	-3354.14758234831	0.433558576624646	0
33G	-3354.14758234858	0.433557163732114	0
33T	-3106.28187769784	1.89043327900681	0
34A	-3106.27568237625	1.89301044349696	0
34C	-3354.34052880794	1.3925454450185	0
34G	-3354.14758238194	0.433558036248711	0
34T	-3354.14758238193	0.433558064256444	0
35A	-3105.9075227252	1.89141154815908	0
35C	-3354.14758237476	0.433558112395312	0
35G	-3354.14758237475	0.433558110913131	0
35T	-3354.24278359562	1.04787340631599	0
neutral	-3354.43326210634	1	0
